"年月日","牡羊座","牡牛座","双子座","蟹座","獅子座","乙女座","天秤座","蠍座","射手座","山羊座","水瓶座","魚座"
"20120711","11","12","4","8","9","7","1","5","3","6","10","2"
"20120712","1","5","4","12","10","7","11","6","8","9","3","2"
"20120713","7","11","1","9","6","12","4","2","10","5","3","8"
"20120714","7","2","1","8","6","12","10","11","4","9","5","3"
"20120715","3","10","9","2","1","4","8","6","11","7","5","12"
"20120716","5","2","7","10","12","9","4","8","1","3","11","6"
"20120717","12","10","5","2","6","3","9","1","7","11","4","8"
"20120718","10","9","6","4","8","5","12","1","3","7","11","2"
"20120719","9","2","7","8","6","10","4","12","1","3","5","11"
"20120720","8","4","7","12","3","2","1","11","10","5","9","6"
"20120721","3","4","8","12","7","5","1","2","9","10","11","6"
"20120722","1","7","2","3","12","5","4","10","8","9","11","6"
"20120723","8","6","9","5","7","10","2","3","1","4","12","11"
"20120724","8","11","2","7","5","1","12","3","9","10","6","4"
"20120725","7","4","10","12","6","5","8","11","9","2","3","1"
"20120726","5","6","2","10","7","12","1","8","9","4","3","11"
"20120727","10","8","7","3","4","12","1","11","6","9","2","5"
"20120728","8","10","5","4","2","6","1","3","11","7","9","12"
"20120729","9","5","4","7","6","10","8","12","11","2","1","3"
"20120730","10","5","7","8","1","11","4","12","3","9","6","2"
"20120731","6","2","11","10","8","3","7","5","9","4","1","12"
"20120801","7","3","8","10","9","6","12","2","1","5","11","4"
"20120802","9","3","7","6","10","12","4","2","5","8","11","1"
"20120803","7","12","11","2","3","4","6","5","10","9","8","1"
"20120804","6","2","1","3","8","11","4","10","12","7","9","5"
"20120805","7","8","4","5","12","6","10","2","1","3","9","11"
"20120806","1","4","3","10","5","8","6","7","12","2","9","11"
"20120807","11","1","10","9","4","5","3","2","6","7","12","8"
"20120808","2","8","11","7","3","6","5","12","9","10","1","4"
"20120809","6","2","1","10","8","11","9","5","4","7","3","12"
"20120810","4","3","10","1","9","7","6","2","12","5","11","8"
"20120811","6","11","7","2","9","10","3","8","5","12","4","1"
"20120812","6","3","4","2","12","9","8","11","7","5","1","10"
"20120813","7","5","11","8","6","4","10","9","12","2","1","3"
"20120814","8","2","1","12","3","5","11","9","4","7","6","10"
"20120815","7","9","8","2","5","10","1","12","11","6","4","3"
"20120816","3","2","7","10","9","12","4","1","8","5","6","11"
"20120817","10","3","2","11","4","7","8","5","1","9","12","6"
"20120818","4","7","1","10","2","5","11","12","8","6","9","3"
"20120819","10","5","8","3","9","12","4","7","6","2","1","11"
"20120820","6","7","2","8","12","4","1","9","3","5","10","11"
"20120821","4","10","2","1","3","5","7","6","11","8","12","9"
"20120822","9","3","10","11","1","6","2","12","4","5","7","8"
"20120823","6","5","2","10","11","1","9","8","12","4","3","7"
"20120824","12","6","10","3","1","9","2","11","8","7","4","5"
"20120825","3","9","1","12","4","2","11","5","6","10","8","7"
"20120826","8","9","7","3","10","6","4","12","2","5","1","11"
"20120827","11","2","6","3","5","10","9","4","12","7","1","8"
"20120828","8","11","4","10","6","1","12","3","2","5","9","7"
"20120829","2","12","9","10","7","5","8","11","6","4","1","3"
"20120830","5","4","7","1","9","11","2","8","10","6","12","3"
"20120831","1","6","9","10","4","7","8","3","2","5","12","11"
"20120901","8","12","7","6","1","3","9","4","2","11","10","5"
"20120902","10","8","6","4","3","5","1","2","7","12","9","11"
"20120903","3","1","10","12","11","8","7","6","9","5","2","4"
"20120904","1","6","9","2","12","3","11","5","10","7","8","4"
"20120905","2","6","11","1","12","10","4","9","5","7","8","3"
"20120906","3","9","5","4","2","6","12","7","10","1","11","8"
"20120907","11","4","12","5","10","7","3","2","9","8","6","1"
"20120908","12","10","6","11","4","8","1","7","2","9","5","3"
"20120909","4","6","10","12","7","11","3","9","5","8","2","1"
"20120910","10","12","11","4","9","3","7","2","5","8","1","6"
"20120911","3","12","2","9","8","1","4","5","11","7","6","10"
"20120912","1","2","9","6","5","7","3","10","11","12","8","4"
"20120913","6","1","9","8","2","12","4","10","11","5","7","3"
"20120914","7","11","3","6","9","5","2","4","12","8","1","10"
"20120915","8","3","5","1","7","10","11","6","2","9","12","4"
"20120916","3","11","12","7","6","5","10","9","1","8","4","2"
"20120917","6","8","1","3","11","7","12","2","9","10","4","5"
"20120918","8","12","6","5","10","4","2","11","9","7","1","3"
"20120919","10","11","3","4","2","8","5","6","9","1","7","12"
"20120920","12","7","5","11","2","9","6","1","4","10","8","3"
"20120921","10","1","4","8","2","6","5","9","11","7","3","12"
"20120922","3","12","6","9","11","4","2","8","5","1","7","10"
"20120923","1","7","5","12","2","3","11","9","4","10","6","8"
"20120924","1","2","7","4","5","8","3","12","9","6","10","11"
"20120925","10","11","4","1","8","6","7","5","3","9","2","12"
"20120926","6","8","4","2","9","11","1","7","12","10","5","3"
"20120927","2","10","5","4","3","1","11","8","7","6","9","12"
"20120928","12","5","4","3","10","9","2","8","6","1","11","7"
"20120929","5","12","9","1","6","3","4","7","8","2","11","10"
"20120930","7","3","4","5","10","9","6","11","2","12","8","1"
"20121001","7","10","12","9","2","4","8","11","3","5","6","1"
"20121002","11","10","3","7","9","4","1","8","12","2","5","6"
"20121003","4","12","5","6","1","7","9","11","8","10","2","3"
"20121004","9","7","5","8","4","6","12","2","11","3","10","1"
"20121005","4","3","6","10","5","11","8","12","1","2","7","9"
"20121006","6","10","9","12","4","2","5","3","11","1","7","8"
"20121007","12","6","9","8","4","7","2","11","5","10","1","3"
"20121008","9","6","1","7","10","5","12","8","2","3","11","4"
"20121009","11","9","3","4","8","6","7","1","12","5","10","2"
"20121010","2","6","3","9","7","8","1","10","12","5","4","11"
"20121011","5","2","8","7","12","10","4","6","9","1","3","11"
"20121012","7","1","11","3","10","9","4","8","12","6","5","2"
"20121013","11","12","4","9","3","7","1","6","5","10","8","2"
"20121014","4","1","6","11","10","3","5","9","12","7","8","2"
"20121015","12","2","11","9","10","5","6","3","4","7","8","1"
"20121016","7","1","6","8","10","12","5","9","3","11","2","4"
"20121017","2","5","6","1","7","12","4","11","3","9","10","8"
"20121018","3","5","12","6","2","1","10","11","8","9","4","7"
"20121019","6","9","12","7","1","2","11","3","5","8","4","10"
"20121020","12","9","10","3","2","5","11","7","4","8","1","6"
"20121021","1","2","9","8","6","7","3","4","10","12","11","5"
"20121022","2","9","3","12","11","4","5","7","1","8","6","10"
"20121023","2","6","7","8","1","3","9","12","5","11","4","10"
"20121024","6","4","7","3","9","5","2","12","10","1","11","8"
"20121025","3","4","6","2","9","8","12","11","5","1","7","10"
"20121026","7","1","6","11","10","12","2","3","5","8","4","9"
"20121027","3","7","2","9","8","1","10","11","12","4","5","6"
"20121028","7","6","8","9","4","1","5","11","12","2","10","3"
"20121029","11","8","10","4","6","7","3","12","1","9","5","2"
"20121030","10","11","7","2","5","9","1","6","8","3","12","4"
"20121031","3","4","7","12","5","6","9","8","10","1","2","11"
"20121101","11","2","4","1","12","6","5","9","10","3","7","8"
"20121102","2","5","10","11","6","1","8","9","4","7","3","12"
"20121103","3","4","10","1","2","12","9","11","5","8","7","6"
"20121104","3","5","7","4","1","12","9","11","2","6","8","10"
"20121105","10","8","1","5","4","3","11","2","6","9","12","7"
"20121106","2","1","6","3","10","12","8","7","4","9","11","5"
"20121107","1","9","3","10","6","4","7","2","11","5","8","12"
"20121108","7","6","4","8","9","5","11","3","2","12","10","1"
"20121109","6","1","5","8","9","4","2","12","3","10","11","7"
"20121110","3","9","2","10","11","1","7","5","4","6","12","8"
"20121111","11","5","3","4","9","12","2","6","1","8","7","10"
"20121112","2","7","11","10","5","4","1","9","6","3","8","12"
"20121113","10","1","6","11","8","12","9","4","7","5","3","2"
"20121114","11","7","10","5","9","1","2","3","4","6","8","12"
"20121115","1","9","3","10","6","5","8","2","4","7","11","12"
"20121116","7","10","12","8","6","4","11","9","2","3","5","1"
"20121117","1","4","5","10","12","2","9","7","8","6","3","11"
"20121118","9","11","7","3","1","10","12","4","6","2","5","8"
"20121119","11","10","5","1","8","3","2","9","7","6","12","4"
"20121120","7","12","4","3","11","2","6","9","8","1","5","10"
"20121121","4","12","8","1","3","7","10","9","11","6","5","2"
"20121122","1","12","8","4","5","10","3","6","9","2","7","11"
"20121123","11","7","1","5","10","9","12","6","4","2","8","3"
"20121124","9","7","3","2","10","11","6","4","1","8","12","5"
"20121125","8","5","6","9","10","11","7","3","2","4","1","12"
"20121126","5","10","3","11","6","4","2","12","1","9","8","7"
"20121127","2","1","12","7","3","11","8","9","4","10","6","5"
"20121128","2","3","12","7","4","10","9","5","11","8","1","6"
"20121129","7","8","3","11","6","12","10","2","4","9","1","5"
"20121130","6","5","4","2","8","7","11","10","12","9","1","3"
"20121201","7","8","4","12","9","3","11","6","2","1","5","10"
"20121202","7","11","8","3","4","2","5","6","12","9","10","1"
"20121203","4","11","2","1","6","3","12","10","5","9","8","7"
"20121204","4","1","11","5","10","7","9","3","2","6","12","8"
"20121205","12","9","1","8","10","5","4","3","7","2","11","6"
"20121206","12","8","4","11","2","1","5","3","7","9","6","10"
"20121207","10","11","12","7","3","8","4","1","2","6","5","9"
"20121208","4","7","11","5","2","1","8","10","9","6","3","12"
"20121209","4","12","3","7","8","2","6","10","11","9","1","5"
"20121210","5","1","7","2","9","3","8","12","4","11","6","10"
"20121211","5","10","8","2","11","4","6","9","12","7","3","1"
"20121212","1","4","11","3","8","10","6","12","2","9","5","7"
"20121213","11","4","1","3","6","10","12","8","7","2","5","9"
"20121214","2","4","7","10","3","1","12","8","11","6","5","9"
"20121215","2","6","8","11","1","9","10","3","4","5","7","12"
"20121216","1","2","10","9","12","4","7","3","8","5","6","11"
"20121217","10","5","3","6","11","9","4","8","2","12","7","1"
"20121218","6","1","5","8","2","4","12","7","11","9","10","3"
"20121219","6","3","5","9","7","10","12","2","8","1","11","4"
"20121220","6","2","3","10","8","11","5","9","7","4","1","12"
"20121221","7","10","11","12","2","4","8","5","1","9","6","3"
"20121222","7","12","10","2","11","9","8","3","4","1","6","5"
"20121223","12","4","2","11","6","9","3","1","5","10","7","8"
"20121224","5","3","10","7","11","2","4","9","8","12","1","6"
"20121225","12","9","11","4","1","2","5","3","8","7","6","10"
"20121226","1","7","12","3","10","6","2","5","9","8","4","11"
"20121227","4","6","3","1","5","11","10","8","7","9","2","12"
"20121228","7","12","2","4","5","1","3","11","8","9","6","10"
"20121229","3","11","12","7","6","9","5","1","4","10","8","2"
"20121230","11","4","5","1","10","9","3","8","6","2","12","7"
"20121231","8","1","9","3","11","4","2","12","7","5","6","10"
"20130101","10","12","4","9","3","5","11","1","2","8","6","7"
"20130102","9","4","1","2","11","8","12","6","10","7","3","5"
"20130103","4","7","5","1","8","10","2","9","3","11","12","6"
"20130104","10","12","8","2","1","3","7","5","11","4","9","6"
"20130105","3","11","1","2","6","12","10","4","7","5","8","9"
"20130106","5","10","9","12","8","6","7","4","3","2","1","11"
"20130107","6","7","2","3","4","1","9","5","8","10","11","12"
"20130108","6","12","7","3","8","9","1","5","4","11","10","2"
"20130109","2","10","5","7","11","9","12","3","8","1","4","6"
"20130110","9","8","12","3","7","10","11","1","6","5","4","2"
"20130111","6","5","7","4","11","1","12","8","9","10","3","2"
"20130112","10","4","6","9","2","12","1","11","8","5","3","7"
"20130113","7","6","5","11","3","10","12","4","2","1","8","9"
"20130114","9","8","7","4","1","10","2","11","6","5","3","12"
"20130115","9","6","2","8","5","1","4","11","7","3","12","10"
"20130116","11","9","7","10","2","8","5","12","1","6","3","4"
"20130117","12","11","4","7","8","3","2","5","10","1","6","9"
"20130118","9","3","10","11","4","8","6","2","12","5","7","1"
"20130119","7","1","12","3","11","4","5","10","9","8","2","6"
"20130120","2","10","9","1","7","12","3","5","4","6","11","8"
"20130121","5","2","4","11","3","8","1","10","7","12","9","6"
"20130122","2","7","4","9","6","11","3","1","5","12","8","10"
"20130123","8","3","9","7","6","2","5","12","1","4","10","11"
"20130124","3","9","7","12","5","8","6","4","1","10","2","11"
"20130125","6","4","7","11","12","3","2","1","9","8","10","5"
"20130126","9","4","11","5","12","10","8","3","2","6","1","7"
"20130127","5","12","2","1","7","10","4","9","8","6","11","3"
"20130128","12","4","6","8","7","3","9","5","10","1","11","2"
"20130129","6","2","12","4","3","5","1","10","7","8","9","11"
"20130130","8","12","9","11","3","7","6","5","4","2","1","10"
"20130131","1","6","8","11","2","7","10","12","5","9","4","3"
"20130201","7","5","2","6","11","3","10","9","12","4","8","1"
"20130202","7","9","3","11","12","6","10","1","5","8","2","4"
"20130203","2","5","4","3","9","1","6","12","11","8","7","10"
"20130204","12","1","4","3","8","11","7","10","5","6","9","2"
"20130205","6","10","1","12","11","4","3","9","2","7","8","5"
"20130206","6","7","9","3","1","11","4","10","5","2","8","12"
"20130207","9","12","1","4","3","8","7","10","11","6","5","2"
"20130208","11","6","5","12","4","8","1","3","2","9","7","10"
"20130209","1","12","6","4","8","9","5","10","11","7","2","3"
"20130210","3","4","1","6","8","5","9","2","11","12","7","10"
"20130211","1","2","10","8","7","4","5","6","12","9","3","11"
"20130212","5","1","3","10","4","7","8","6","11","9","2","12"
"20130213","1","3","6","12","8","10","7","9","2","4","5","11"
"20130214","10","12","4","3","11","5","7","1","2","6","9","8"
"20130215","7","4","6","11","1","2","10","9","5","8","12","3"
"20130216","3","8","7","10","11","6","2","12","9","5","1","4"
"20130217","4","5","7","12","1","11","6","9","10","2","8","3"
"20130218","2","1","9","12","6","3","11","7","5","8","10","4"
"20130219","3","11","12","4","6","5","1","2","8","10","7","9"
"20130220","6","5","10","8","4","12","7","2","9","11","1","3"
"20130221","6","11","1","9","7","8","12","10","3","4","5","2"
"20130222","6","7","8","3","11","9","1","4","10","5","2","12"
"20130223","10","8","5","7","3","6","12","4","2","1","9","11"
"20130224","6","12","7","11","9","10","1","3","4","2","5","8"
"20130225","4","11","10","3","7","2","12","1","6","8","5","9"
"20130226","11","1","6","7","8","12","5","9","10","3","4","2"
"20130227","4","2","5","1","9","11","7","12","6","3","10","8"
"20130228","6","10","7","5","8","2","11","12","1","4","9","3"
"20130301","1","11","7","6","2","8","9","3","4","5","10","12"
"20130302","1","4","7","8","10","2","12","6","9","11","5","3"
"20130303","7","8","5","6","9","10","4","1","3","2","12","11"
"20130304","8","10","1","4","3","12","5","7","6","2","11","9"
"20130305","8","7","9","2","4","10","6","1","3","11","5","12"
"20130306","7","4","8","10","6","5","1","3","2","9","11","12"
"20130307","9","6","1","11","4","7","10","8","3","2","5","12"
"20130308","1","11","8","9","4","10","7","6","12","5","3","2"
"20130309","6","11","1","7","3","8","4","9","10","2","12","5"
"20130310","3","10","6","12","5","7","1","2","4","11","9","8"
"20130311","4","5","10","11","7","1","2","6","8","12","3","9"
"20130312","2","10","11","4","3","9","12","5","6","8","7","1"
"20130313","2","1","8","9","12","6","11","5","7","3","10","4"
"20130314","7","10","6","8","4","2","5","11","3","1","12","9"
"20130315","8","9","3","5","4","7","11","2","10","12","6","1"
"20130316","6","10","11","1","2","3","4","12","9","7","8","5"
"20130317","10","2","11","5","8","9","6","4","1","12","7","3"
"20130318","9","2","1","3","11","12","6","4","10","5","8","7"
"20130319","7","9","6","12","10","4","3","1","8","5","11","2"
"20130320","1","4","11","10","7","6","8","3","5","12","2","9"
"20130321","10","1","8","4","12","3","6","2","5","7","11","9"
"20130322","2","4","7","3","1","12","9","11","10","6","5","8"
"20130323","8","10","9","7","5","3","6","11","4","1","2","12"
"20130324","10","4","7","9","11","5","3","8","6","2","12","1"
"20130325","1","10","5","3","12","4","9","11","7","2","8","6"
"20130326","5","3","6","9","10","12","7","11","2","4","8","1"
"20130327","12","2","8","7","3","10","9","5","4","6","1","11"
"20130328","7","3","2","11","4","1","8","12","10","6","9","5"
"20130329","3","4","10","9","12","5","6","7","11","2","1","8"
"20130330","10","5","9","6","2","11","8","4","3","1","12","7"
"20130331","2","8","3","5","4","10","1","9","12","11","7","6"
"20130401","2","5","7","9","6","8","3","1","10","4","12","11"
"20130402","3","7","5","10","11","2","1","6","9","8","12","4"
"20130403","4","9","12","10","11","5","2","7","6","1","3","8"
"20130404","11","1","6","7","12","9","4","8","5","3","2","10"
"20130405","10","11","9","8","2","4","12","6","1","3","7","5"
"20130406","9","5","6","10","4","2","7","3","1","11","8","12"
"20130407","11","1","7","5","6","3","2","8","10","12","4","9"
"20130408","10","9","1","6","12","5","4","7","8","3","2","11"
"20130409","9","1","2","7","11","10","12","6","4","8","3","5"
"20130410","1","2","5","6","11","9","8","3","7","10","12","4"
"20130411","7","6","8","12","2","4","10","9","11","5","3","1"
"20130412","9","7","4","6","1","2","3","10","8","11","12","5"
"20130413","3","11","12","7","1","10","4","6","9","2","8","5"
"20130414","4","9","7","5","3","11","2","6","8","10","1","12"
"20130415","5","4","6","12","8","7","1","10","9","2","11","3"
"20130416","6","10","5","9","8","2","11","1","4","3","12","7"
"20130417","7","3","11","12","10","6","1","2","4","5","9","8"
"20130418","12","3","5","10","8","7","2","9","4","11","1","6"
"20130419","6","5","2","9","1","11","12","4","10","8","7","3"
"20130420","2","8","9","10","1","11","3","5","4","6","7","12"
"20130421","11","7","10","5","3","12","4","9","2","8","1","6"
"20130422","5","3","12","2","11","4","1","7","9","10","8","6"
"20130423","10","6","2","5","7","12","1","11","4","9","8","3"
"20130424","9","12","2","1","5","6","4","11","3","10","8","7"
"20130425","5","2","12","3","4","1","10","11","6","7","8","9"
"20130426","8","5","11","10","3","6","7","1","4","2","9","12"
"20130427","3","8","7","10","1","9","11","4","5","2","12","6"
"20130428","8","4","2","10","3","9","7","11","1","12","5","6"
"20130429","11","8","7","1","10","4","2","6","3","9","5","12"
"20130430","1","12","5","9","10","4","7","6","11","3","2","8"
"20130501","12","1","10","2","6","8","9","4","3","11","7","5"
"20130502","4","5","10","6","2","1","3","11","8","9","12","7"
"20130503","12","8","11","7","2","3","6","9","10","5","1","4"
"20130504","11","6","4","3","12","2","1","7","9","8","10","5"
"20130505","1","11","5","2","7","6","12","3","4","9","10","8"
"20130506","2","5","9","7","1","6","4","8","3","10","12","11"
"20130507","9","3","2","6","1","7","4","8","5","10","12","11"
"20130508","10","3","9","6","12","7","11","1","8","2","5","4"
"20130509","10","9","12","4","11","1","3","8","7","6","2","5"
"20130510","3","8","4","9","6","1","11","5","2","7","10","12"
"20130511","9","10","5","8","7","1","2","11","3","12","6","4"
"20130512","9","10","3","7","11","2","5","4","1","12","6","8"
"20130513","5","3","2","1","9","7","11","6","10","4","8","12"
"20130514","4","8","9","7","11","6","1","2","5","12","3","10"
"20130515","3","7","1","2","9","12","10","4","5","11","8","6"
"20130516","1","10","2","12","8","5","7","6","11","3","9","4"
"20130517","10","11","2","9","8","3","7","1","4","5","6","12"
"20130518","8","4","2","12","10","9","7","5","11","1","3","6"
"20130519","7","5","12","4","2","9","11","10","3","8","1","6"
"20130520","2","1","3","8","10","11","4","6","7","5","9","12"
"20130521","4","12","2","6","10","9","3","7","1","8","5","11"
"20130522","10","8","5","2","12","9","4","7","6","11","1","3"
"20130523","6","5","9","2","1","4","7","12","11","10","3","8"
"20130524","10","7","8","9","4","12","3","11","2","1","6","5"
"20130525","12","3","8","10","11","4","6","1","5","9","2","7"
"20130526","9","3","8","10","7","1","4","12","6","11","2","5"
"20130527","7","3","11","4","8","10","1","12","6","5","9","2"
"20130528","1","6","3","5","8","4","10","11","2","9","7","12"
"20130529","12","11","1","6","2","7","10","3","9","8","4","5"
"20130530","6","9","7","1","5","2","11","3","10","4","8","12"
"20130531","10","1","6","7","3","4","12","11","8","5","9","2"
"20130601","9","11","10","7","5","6","4","1","8","12","2","3"
"20130602","10","12","7","1","9","8","2","3","4","6","5","11"
"20130603","10","5","1","11","7","8","9","3","4","12","2","6"
"20130604","10","9","2","5","7","8","1","11","3","4","12","6"
"20130605","1","3","4","12","8","6","7","10","9","2","5","11"
"20130606","9","4","10","2","5","12","11","1","7","8","6","3"
"20130607","6","11","4","8","9","12","3","1","10","5","7","2"
"20130608","9","11","12","10","5","7","1","2","4","8","6","3"
"20130609","6","4","7","1","12","11","2","3","9","10","8","5"
"20130610","5","7","3","9","11","12","6","10","2","8","1","4"
"20130611","1","9","11","4","7","5","3","12","6","10","8","2"
"20130612","11","2","5","8","3","4","10","9","12","1","6","7"
"20130613","1","11","7","3","2","8","9","5","10","12","6","4"
"20130614","6","5","2","9","4","3","7","10","12","1","11","8"
"20130615","10","2","11","1","5","12","3","7","9","8","6","4"
"20130616","4","1","2","7","12","6","11","3","10","8","9","5"
"20130617","11","9","12","10","4","6","1","5","7","2","3","8"
"20130618","10","4","7","5","3","6","12","11","1","9","2","8"
"20130619","5","9","2","12","4","8","7","10","3","6","11","1"
"20130620","7","9","2","3","11","5","4","12","8","6","1","10"
"20130621","8","4","9","10","7","1","5","6","3","12","11","2"
"20130622","12","11","10","8","3","4","5","1","6","9","2","7"
"20130623","11","3","6","4","10","9","2","7","8","5","12","1"
"20130624","7","6","5","8","10","9","4","2","3","11","12","1"
"20130625","1","8","9","11","12","5","2","4","6","10","7","3"
"20130626","11","3","7","2","1","4","12","8","6","10","9","5"
"20130627","12","7","2","9","4","6","1","5","10","8","11","3"
"20130628","8","7","1","5","10","3","12","11","4","6","2","9"
"20130629","12","1","6","5","2","9","11","10","8","3","4","7"
"20130630","9","11","8","6","7","4","3","2","10","5","1","12"
"20130701","12","6","7","2","5","10","9","3","11","4","8","1"
"20130702","9","4","1","12","8","7","10","2","5","6","3","11"
"20130703","5","1","4","3","6","7","12","11","10","9","8","2"
"20130704","1","2","12","11","6","8","4","7","9","10","5","3"
"20130705","2","10","7","1","11","5","8","9","12","6","3","4"
"20130706","11","10","6","2","12","5","3","1","7","9","4","8"
"20130707","5","9","8","7","1","2","10","6","4","12","11","3"
"20130708","10","8","3","4","11","6","1","12","9","5","2","7"
"20130709","5","12","9","11","2","1","6","10","4","8","7","3"
"20130710","1","12","5","7","8","4","2","10","6","11","3","9"
"20130711","7","6","10","5","8","4","9","1","2","11","12","3"
"20130712","1","6","8","2","11","3","12","7","9","10","5","4"
"20130713","11","8","3","9","6","4","7","5","2","12","1","10"
"20130714","2","5","12","10","3","11","6","8","1","7","4","9"
"20130715","8","9","7","1","6","2","11","5","10","3","12","4"
"20130716","3","7","11","5","10","2","6","8","12","1","4","9"
"20130717","4","10","8","12","5","11","7","1","9","2","6","3"
"20130718","1","6","10","9","5","12","11","7","8","3","2","4"
"20130719","9","10","12","8","5","2","4","3","6","1","7","11"
"20130720","1","11","9","7","10","5","12","2","3","8","4","6"
"20130721","5","7","8","6","11","3","2","10","12","9","1","4"
"20130722","3","12","2","9","8","10","11","5","4","7","6","1"
"20130723","12","5","6","4","9","1","11","3","8","7","10","2"
"20130724","2","5","6","4","1","3","9","7","10","8","12","11"
"20130725","3","5","6","2","10","9","8","7","4","1","11","12"
"20130726","8","5","12","10","6","11","9","4","3","1","2","7"
"20130727","9","4","7","2","1","8","3","11","6","5","10","12"
"20130728","3","4","9","12","2","10","7","6","11","8","1","5"
"20130729","9","6","4","5","7","8","1","2","3","10","12","11"
"20130730","4","10","11","3","6","1","9","12","2","7","8","5"
"20130731","1","3","11","10","12","2","9","5","4","6","8","7"
"20130801","6","5","9","12","8","11","10","4","7","1","2","3"
"20130802","11","8","10","6","3","9","12","7","5","4","2","1"
"20130803","3","7","6","2","5","9","12","1","11","10","8","4"
"20130804","7","3","12","1","10","6","11","9","4","2","5","8"
"20130805","5","6","2","1","3","8","11","4","9","10","12","7"
"20130806","2","1","11","7","8","5","6","12","10","9","3","4"
"20130807","2","9","1","12","7","11","6","4","8","3","5","10"
"20130808","1","10","11","5","3","2","9","6","8","4","12","7"
"20130809","12","3","6","10","5","1","8","9","11","7","4","2"
"20130810","2","11","5","12","8","6","9","7","4","1","3","10"
"20130811","11","3","7","9","10","6","12","2","4","8","5","1"
"20130812","10","7","11","5","4","12","8","2","3","6","9","1"
"20130813","4","1","9","2","12","5","6","3","10","8","7","11"
"20130814","6","9","1","2","12","10","5","7","8","4","3","11"
"20130815","8","10","2","5","1","4","12","11","9","7","6","3"
"20130816","6","5","4","7","10","1","12","3","11","9","2","8"
"20130817","9","8","2","6","4","1","7","10","5","11","12","3"
"20130818","3","4","5","1","2","8","10","12","11","9","7","6"
"20130819","3","10","9","7","12","1","5","4","2","6","11","8"
"20130820","11","1","9","10","5","7","8","4","2","12","3","6"
"20130821","7","1","8","2","6","4","12","9","10","5","3","11"
"20130822","5","2","3","6","7","11","1","4","10","12","9","8"
"20130823","9","11","1","4","5","3","12","7","6","8","10","2"
"20130824","5","7","9","1","11","12","4","10","3","8","6","2"
"20130825","6","9","4","7","1","8","11","10","2","12","5","3"
"20130826","11","7","1","6","5","9","12","3","10","4","8","2"
"20130827","2","4","3","8","11","7","10","1","5","9","6","12"
"20130828","8","1","7","5","11","9","2","12","10","6","4","3"
"20130829","9","3","2","7","8","4","1","12","10","5","6","11"
"20130830","1","9","2","3","8","7","10","11","4","5","6","12"
"20130831","10","9","1","6","8","11","5","4","12","2","7","3"
"20130901","7","5","6","1","3","10","8","4","9","11","12","2"
"20130902","3","6","10","2","8","1","9","11","5","7","4","12"
"20130903","2","11","4","12","5","7","10","6","9","8","1","3"
"20130904","11","6","10","1","8","5","4","7","2","9","12","3"
"20130905","2","10","5","9","11","1","4","3","6","12","8","7"
"20130906","6","3","1","10","9","7","2","11","5","8","12","4"
"20130907","12","5","4","7","10","1","8","6","9","2","11","3"
"20130908","4","3","9","6","7","12","8","1","2","10","11","5"
"20130909","5","3","12","1","7","11","6","4","8","2","10","9"
"20130910","7","10","6","11","1","2","5","12","3","9","4","8"
"20130911","7","3","1","12","8","4","5","10","2","6","9","11"
"20130912","6","3","12","11","10","1","2","5","8","4","9","7"
"20130913","6","3","8","7","11","2","1","5","10","9","4","12"
"20130914","12","8","4","11","10","1","5","7","6","3","9","2"
"20130915","5","1","2","8","10","4","6","11","12","3","7","9"
"20130916","5","7","8","1","11","10","9","3","4","6","2","12"
"20130917","11","10","3","2","1","12","5","8","9","6","7","4"
"20130918","2","6","4","7","12","5","11","9","10","1","8","3"
"20130919","5","6","9","2","12","11","7","8","4","10","1","3"
"20130920","10","4","12","8","6","5","7","1","11","9","3","2"
"20130921","12","2","10","9","7","5","1","6","4","3","11","8"
"20130922","1","2","7","12","5","8","4","6","10","9","3","11"
"20130923","1","5","3","7","9","11","12","8","10","2","6","4"
"20130924","8","11","1","4","12","5","3","2","10","7","9","6"
"20130925","7","3","11","1","6","10","8","9","5","4","2","12"
"20130926","10","3","11","7","6","4","2","9","8","1","5","12"
"20130927","11","1","3","2","4","6","10","9","7","8","5","12"
"20130928","6","3","1","4","5","9","8","12","7","10","11","2"
"20130929","3","4","6","12","2","8","5","11","9","10","7","1"
"20130930","4","12","9","3","2","11","8","10","5","6","1","7"
"20131001","8","10","6","5","7","12","9","4","1","2","3","11"
"20131002","10","6","4","12","9","7","8","5","1","11","3","2"
"20131003","10","3","4","12","6","1","7","8","2","5","9","11"
"20131004","9","2","6","5","10","4","7","8","3","11","12","1"
"20131005","1","6","2","12","3","7","11","8","9","10","4","5"
"20131006","3","5","7","4","2","12","1","11","8","9","6","10"
"20131007","11","2","5","8","6","10","12","9","7","1","3","4"
"20131008","7","9","4","3","6","12","2","11","1","5","8","10"
"20131009","7","10","9","5","8","4","11","2","12","1","6","3"
"20131010","5","7","4","8","11","12","6","10","9","2","3","1"
"20131011","12","4","6","3","5","7","10","11","2","9","1","8"
"20131012","8","4","12","3","7","9","10","6","5","1","2","11"
"20131013","3","7","1","6","12","5","4","9","11","8","10","2"
"20131014","5","9","4","2","12","1","8","6","10","3","7","11"
"20131015","9","8","11","7","3","2","6","10","12","5","1","4"
"20131016","1","2","10","11","6","4","5","12","7","3","8","9"
"20131017","2","12","10","8","11","1","4","7","9","3","6","5"
